"objectid","sigun_nm","sigun_cd","crtr_yr","flod_dngr_idx","flod_dng_rnk","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
102,용인시,"41460","2019",0.5713122500,12,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
91,파주시,"41480","2019",0.8984936900,1,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
95,이천시,"41500","2019",0.6585696800,5,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
96,안성시,"41550","2019",0.6470348800,6,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
92,김포시,"41570","2019",0.8014656000,2,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
106,화성시,"41590","2019",0.4391369300,16,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
93,광주시,"41610","2019",0.6838105600,3,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
105,양주시,"41630","2019",0.4816121600,15,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
99,포천시,"41650","2019",0.6041525300,9,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
100,여주시,"41670","2019",0.5871895800,10,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
97,연천군,"41800","2019",0.6436422900,7,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
98,가평군,"41820","2019",0.6045596400,8,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
101,양평군,"41830","2019",0.5836612800,11,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
140,수원시,"41110","2020",0.3989686500,20,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
139,성남시,"41130","2020",0.4251594500,19,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
137,의정부시,"41150","2020",0.4946397100,17,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
143,안양시,"41170","2020",0.3692495600,23,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
150,부천시,"41190","2020",0.1093771200,31,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
148,광명시,"41210","2020",0.2829420600,29,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
132,평택시,"41220","2020",0.7079658000,12,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
141,동두천시,"41250","2020",0.3840412500,21,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
245,안산시,"41270","2020",0.2832134600,28,system,2025-07-03 13:50:31.214,system,2025-07-03 13:50:31.214
