"cmpttn_yr","admdst_cd","admdst_se_cd","admdst_nm","bldg_elpwr_use_cbn_ehqty","bldg_gas_use_cbn_ehqty","bldg_hetng_use_cbn_ehqty","trsp_lv6_cbn_ehqty","sum_ehqty","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2015","4129000000",ADM002,과천시,135043.4200000000,40178.7000000000,11767.3000000000,0.0000000000,186989.4200000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4131000000",ADM002,구리시,312156.5100000000,163929.4900000000,87.2300000000,0.0000000000,476173.2300000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4136000000",ADM002,남양주시,1049902.8400000000,471072.9200000000,12926.0500000000,0.0000000000,1533901.8100000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4137000000",ADM002,오산시,468160.9600000000,133851.8200000000,20870.9600000000,0.0000000000,622883.7400000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4139000000",ADM002,시흥시,1750288.8200000000,585066.0400000000,953.3400000000,0.0000000000,2336308.2000000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4141000000",ADM002,군포시,533147.9300000000,214112.4800000000,50361.0700000000,0.0000000000,797621.4800000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4143000000",ADM002,의왕시,280845.1100000000,88006.1800000000,16024.0800000000,0.0000000000,384875.3700000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4145000000",ADM002,하남시,290875.2800000000,124655.6300000000,4480.1500000000,0.0000000000,420011.0600000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4146000000",ADM002,용인시,2543703.7100000000,681864.3900000000,184656.1600000000,0.0000000000,3410224.2600000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4148000000",ADM002,파주시,1588421.5700000000,443951.9400000000,33318.3400000000,0.0000000000,2065691.8500000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4150000000",ADM002,이천시,1984086.8800000000,363746.3800000000,0.0000000000,0.0000000000,2347833.2600000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
